url|Date|Location|Info|Player|pl1_bet|pl2_bet|ply
/player/krstic/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045988|Krstic V.|1.53|2.35|p2
/player/bol/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045994|Bol J.|1.53|2.38|p1
/player/rozenberg-11418/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045994|Rozenberg T.|1.53|2.38|p2
/player/van-zijl/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046396|Van Zijl T.|1.53|2.38|p1
/player/stuurman/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046396|Stuurman R.|1.53|2.38|p2
/player/galik-1b5fc/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046006|Galik M.|1.91|1.8|p1
/player/fekete-1b5b9/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046006|Fekete J.|1.91|1.8|p2
/player/wassermann-1c33c/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045992|Wassermann M.|1.91|1.8|p1
/player/hodzic-d9910/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045992|Hodzic A.|1.91|1.8|p2
/player/rogic-hadzalic/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046314|Rogic Hadzalic A.|1.91|1.8|p1
/player/havlicek-6584a/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046314|Havlicek M.|1.91|1.8|p2
/player/bielinskyi-90e51/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045996|Bielinskyi O.|1.44|2.6|p1
/player/van-den-berg-987aa/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045996|Van Den Berg R.|1.44|2.6|p2
/player/petrovic-528e3/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046008|Petrovic D.|1.44|2.6|p1
/player/gostincar/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046008|Gostincar D.|1.44|2.6|p2
