Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Davis Cup|1.25|3.3|Akkoyun U.|Turkey|2015|||right|24.0|Faisal G.|Canada|2021|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Jovic V.|Serbia|2020|||right|22.0|Qabazard E.|Kuwait|2015|||right|22.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Elamin A.|Ireland|2018|||right|22.0|Frljanic S.|Canada|2011|||right|28.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Hazawa S.|Japan|2016|68.0|175.0|right|25.0|Hansch Mauritzson F.|Sweden|2021|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Gibbens J.|GreatBritain|2015|||right|27.0|Canas Garcia J.|Spain|2013|||right|27.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Falcao G.|Portugal|2005|||right|36.0|Wolfschmidt A.|Germany|2015|||right|24.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Jaeger N.|Switzerland|2021|||right||Munoz Gajardo D.|Chile|2021|||right|23.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Guryev E.|Ukraine|2021|||right|20.0|Meryumoglu A.|Turkey|2020|||right|20.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Cubelic K.|Germany|2015|77.0|188.0|left|26.0|Sueoka Y.|Japan|2021|||right|21.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Tabacco F.|Italy|2018|||right|22.0|Petrovic S.|Austria|2020|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Malgaroli L.|Italy|2017|||right|22.0|Chepik A.|Russia|2012|||right|28.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Shrolik I.|Russia|2018|||right|24.0|Mania M.|Italy|2018|||right|22.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Milicevic L.|Serbia|2021|||right||Heger T.|Germany|2015|||right|24.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Gobbi G.|Italy|2015|||right|32.0|Ovchinnikov V.|Russia|2021|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Mishkin K.|Russia|2018|||left|21.0|Gabay S.|Israel|2015|||right|24.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Faria L.|Portugal|2014|||right|25.0|Rousseau H.|Haiti|2011|||right|29.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Curras Abasolo T.|Spain|2014|||right|24.0|Davila Godoy S.|Spain|2020|||right|23.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Dadabaev A.|Uzbekistan|2017|||right|21.0|Sakellaridis S.|Greece|2018|||right|19.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Benchakroun M.|Morocco|2021|||right|20.0|Fioriti F.|Italy|2019|||right|23.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Woerner P.|Germany|2010|||right|27.0|Horiuchi R.|Japan|2017|||right|25.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Samardzic M.|Montenegro|2021|||right||Horvat V.|Croatia|2022|||right|21.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Pristauz E.|Austria|2020|||right||Ercegovic A.|Croatia|2021|||right|21.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Wassermann D.|Netherlands|2016|||right|23.0|Simoes M.|Portugal|2019|||right|20.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Chaiyarin C.|Thailand|2018|||right|20.0|Duric A.|BosniaandHerzeg.|2017|||right|24.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Castagnola L.|Italy|2019|72.0|183.0|right|22.0|Zeljenka M.|Hungary|2015|||right|26.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Yang J.|Germany|2017|||right|27.0|Bini V.|Brazil|2018|||right|21.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Portugal A.|Portugal|2015|||right|24.0|Calzi R.|Luxembourg|2014|||right|27.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Osmont G.|France|2021|||right||Yin B.|ChineseTaipei|2016|||right|25.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Zhang L.|China|2018|||right|21.0|Temel D.|Turkey|2017|||right|23.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Virgili A.|Italy|2009|80.0|193.0|right|30.0|Veselic L.|Croatia|2015|83.0|180.0|right|26.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Kivanda S.|GreatBritain|2009|||right|32.0|Beires R.|Portugal|2020|||right|23.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Kask M.|Canada|2021|||right||Babic Z.|Croatia|2012|||right|28.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Den Heijer G.|Netherlands|2013|||right|27.0|Yu B.|China|2014|||right|25.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Labbene Y.|Tunisia|2020|||right||McKeown J.|Ireland|2018|||right|24.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Hess S.|Argentina|2018|||right|23.0|Matsumura R.|Japan|2011|69.0|183.0|right|27.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Ivic S.|Serbia|2016|||right|23.0|Tasenkov V.|Russia|2017|||right|22.0|Varioussurfaces|20220306
