Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Prat A.|ESP|Right-Handed|Sheyngezikht L.|BGR|Right-Handed|0.0|-4.0|-65.0|-1.0|0.0|-3.0|-1.06
Varioussurfaces|Mehra R.|IND|Right-Handed|Zhang L.|CHN|Right-Handed|1.0||65.0|1.0|0.0|1.0|0.010000000000000009
Varioussurfaces|Grzegorzewski O.|POL|Right-Handed|Avcibasi T.|TUR|Right-Handed|1.0||65.0|1.0|0.0|-1.0|-1.12
Varioussurfaces|Smith C.|FRA|Right-Handed|Strode E.|ITA|Left-Handed|0.0|0.0|-65.0|-1.0|0.0|-1.0|1.12
Varioussurfaces|Braswell M.|FRA|Right-Handed|Kumar P.|ITA|Right-Handed|0.0|0.0|-65.0|-1.0|0.0|-3.0|-3.55
grass|Mannarino A.|FRA|Left-Handed|Napolitano S.|ITA|Right-Handed|0.0|6.0|1274.0|-11.0|-16.0|7.0|-2.04
Varioussurfaces|Frusina A.|FRA|Right-Handed|Silva E.|ITA|Right-Handed|0.0|-3.0|-65.0|-1.0|0.0|-3.0|-2.2199999999999998
clay|Elicha Navas G.|ESP|Right-Handed|Garcia A.|ESP|Right-Handed|0.0|-5.0|166.0|-1.0|0.0|-1.0|1.9899999999999998
Varioussurfaces|Mileticki M.|SRB|Right-Handed|Kresina A.|CZE|Right-Handed|1.0||65.0|1.0|0.0|-4.0|-2.5
grass|Popyrin A.|AUS|Right-Handed|Hijikata R.|AUS|Right-Handed|0.0|3.0|86.0|10.0|18.0|2.0|-0.6200000000000001
clay|Guillen Meza A.|ECU|Right-Handed|Pucinelli De Almeida M.|BRA|Right-Handed|1.0||65.0|1.0|0.0|-2.0|1.5699999999999998
clay|Sheyngezikht L.|BGR|Right-Handed|Prat A.|ESP|Right-Handed|1.0||65.0|1.0|0.0|3.0|1.06
clay|Reco A.|FRA|Right-Handed|Elamin A.|IRL|Right-Handed|0.0|3.0|-65.0|-1.0|0.0|3.0|-1.16
Varioussurfaces|Lahlou Y.|MAR|Left-Handed|Josserand M.|FRA|Right-Handed|1.0||65.0|1.0|0.0|3.0|8.15
clay|Gimenez I.|BRA|Right-Handed|Barreiros Reyes M.|BRA|Left-Handed|0.0|0.0|-65.0|-1.0|0.0|1.0|0.69
Varioussurfaces|Jansen W.|FRA|Left-Handed|Han X.|CHN|Right-Handed|0.0|2.0|-65.0|-1.0|0.0|1.0|-3.6100000000000003
clay|Pape V.|DNK|Right-Handed|Gerch L.|DEU|Left-Handed|1.0||65.0|-7.0|-8.0|-6.0|6.16
clay|Del Pino M.|ARG|Left-Handed|Paolini A.|ITA|Right-Handed|1.0||65.0|1.0|0.0|0.0|-1.5499999999999998
clay|Travaglia S.|ITA|Right-Handed|Tseng C.|ITA|Right-Handed|0.0|8.0|-237.0|15.0|10.0|9.0|1.0999999999999999
Varioussurfaces|Alvarez Sarmiento M.|ESP|Right-Handed|Ducariu D.|DEU|Right-Handed|0.0|1.0|-65.0|-1.0|0.0|1.0|2.5
