Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
hard|Fossati A.|ITA|Right-Handed|3.07|Speziali F.|ITA|Right-Handed|1.31|1.0||14.5|0.0|0.0|1.0|1.7599999999999998
hard|La Serna J.|ARG|Left-Handed|1.16|De La Fuente S.|ARG|Right-Handed|4.43|1.0||14.5|0.0|0.0|-2.0|-3.2699999999999996
hard|Fancutt T.|AUS|Right-Handed|2.09|Dzhavakian Y.|UKR|Right-Handed|1.7|1.0||-309.0|0.0|0.0|-2.0|0.3899999999999999
hard|Fishback R.|ITA|Right-Handed|6.01|Ribero F.|ARG|Right-Handed|1.09|1.0||14.5|-4.0|-5.0|-3.0|4.92
clay|Luz O.|BRA|Right-Handed|1.39|Barrena A.|ARG|Right-Handed|2.82|0.0|5.0|-313.5|0.0|-3.0|5.0|-1.43
hard|De La Fuente S.|ARG|Right-Handed|4.43|La Serna J.|ARG|Left-Handed|1.16|0.0|3.0|-14.5|0.0|0.0|2.0|3.2699999999999996
hard|Sergeyev I.|UKR|Right-Handed|4.89|Beloborodko I.|UKR|Right-Handed|1.13|1.0||-137.0|0.0|-8.0|13.0|3.76
hard|Kotov P.|RUS|Right-Handed|1.45|Nagal S.|IND|Right-Handed|2.67|0.0|-3.0|597.0|17.0|13.0|-2.0|-1.22
clay|Tabur C.|FRA|Right-Handed|2.51|Andreev A.|BGR|Right-Handed|1.49|0.0|0.0|204.0|4.0|-10.0|1.0|1.0199999999999998
hard|Beloborodko I.|UKR|Right-Handed|1.13|Sergeyev I.|UKR|Right-Handed|4.89|0.0|-14.0|137.0|0.0|8.0|-13.0|-3.76
hard|Massard L.|FRA|Right-Handed|2.33|Miklavcic L.|SVN|Right-Handed|1.51|0.0|-5.0|-14.5|0.0|0.0|-5.0|0.8200000000000001
hard|Elamin A.|IRL|Right-Handed|1.36|Gil Garcia A.|LUX|Right-Handed|2.81|1.0||14.5|0.0|0.0|2.0|-1.45
hard|Spiridon D.|ITA|Right-Handed|1.01|Ishimwe C.|RWA|Right-Handed|11.0|0.0|3.0|-14.5|0.0|0.0|4.0|-9.99
hard|Basavareddy N.|ITA|Right-Handed|1.19|Rybakov A.|ITA|Left-Handed|4.42|0.0|-9.0|239.0|10.0|-2.0|-8.0|-3.23
hard|Forger A.|NLD|Right-Handed|1.51|Michnev P.|CZE|Right-Handed|2.33|1.0||14.5|-4.0|-5.0|-16.0|-0.8200000000000001
indoors|Majchrzak K.|POL|Right-Handed|1.85|Mayot H.|FRA|Right-Handed|1.88|1.0||130.0|7.0|2.0|6.0|-0.029999999999999805
hard|Reddy R.|IND|Right-Handed|9.78|Safwat M.|EGY|Right-Handed|1.03|1.0||-30.5|-5.0|3.0|-7.0|8.75
indoors|Mayot H.|FRA|Right-Handed|1.88|Majchrzak K.|POL|Right-Handed|1.85|0.0|-4.0|-130.0|-7.0|-2.0|-6.0|0.029999999999999805
clay|Rincon D.|ESP|Left-Handed|1.73|Piros Z.|HUN|Right-Handed|2.03|1.0||-333.0|10.0|3.0|-3.0|-0.2999999999999998
clay|Nunez D.|CHL|Right-Handed|7.0|Pucinelli De Almeida M.|BRA|Right-Handed|1.09|1.0||14.5|0.0|0.0|0.0|5.91
hard|Brown H.|AUS|Right-Handed|3.25|Hulme M.|AUS|Right-Handed|1.33|1.0||14.5|0.0|0.0|0.0|1.92
hard|Parker S.|ITA|Right-Handed|4.32|Alvarez Varona N.|ESP|Right-Handed|1.17|1.0||146.5|-2.0|-5.0|4.0|3.1500000000000004
hard|Senn N.|CHE|Right-Handed|6.0|Ianin N.|RUS|Right-Handed|1.07|1.0||14.5|0.0|0.0|-2.0|4.93
hard|Catry R.|FRA|Right-Handed|1.7|Opitz J.|DEU|Left-Handed|1.9|0.0|-6.0|-14.5|0.0|0.0|-4.0|-0.19999999999999996
hard|Leong M.|MYS|Right-Handed|2.61|Ellis B.|AUS|Right-Handed|1.45|0.0|-9.0|-14.5|0.0|0.0|-5.0|1.16
hard|Di Natale G.|ITA|Right-Handed|3.68|Alimli M.|FRA|Right-Handed|1.2|1.0||14.5|0.0|0.0|5.0|2.4800000000000004
hard|Battiston A.|ITA|Right-Handed|2.64|Caniato C.|ITA|Right-Handed|1.42|1.0||14.5|0.0|0.0|5.0|1.2200000000000002
Varioussurfaces|Doria L.|ARG|Right-Handed|1.67|Romano G.|ARG|Right-Handed|2.1|0.0|12.0|-14.5|0.0|-3.0|9.0|-0.43000000000000016
clay|Sell K.|BRA|Right-Handed|1.18|Farjat T.|ARG|Right-Handed|4.51|0.0|8.0|-14.5|3.0|0.0|7.0|-3.33
hard|Miklavcic L.|SVN|Right-Handed|1.51|Massard L.|FRA|Right-Handed|2.33|1.0||14.5|0.0|0.0|5.0|-0.8200000000000001
hard|Musetti L.|ITA|Right-Handed|1.89|Shang J.|CHN|Left-Handed|1.9|1.0||1530.0|-3.0|2.0|3.0|-0.010000000000000009
hard|Sweeny D.|AUS|Right-Handed|3.34|Wolf J.|ITA|Right-Handed|1.3|1.0||-340.0|-16.0|-13.0|-2.0|2.04
